Name,Region,Cases cumulative total,Cases cumulative total per 100000 population,Deaths cumulative total,Deaths cumulative total per 100000 population,Cases newly reported in last 7 days
Global,,768187096,9855.4509,6945714,89.10998828,211331
United States of America,Americas,103436829,31249.547,1127152,340.527,0
China,Western Pacific,99285177,6748.186,121390,8.251,4604
India,South-East Asia,44993543,3260.391,531896,38.543,463
France,Europe,39079469,60085.877,163855,251.932,8364
Germany,Europe,38434267,46213.523,174691,210.049,1196
Brazil,Americas,37639324,17707.672,703399,330.919,13408
Japan,Western Pacific,33803572,26727.165,74694,59.058,0
Republic of Korea,Western Pacific,32018486,62451.716,34960,68.189,113819
Italy,Europe,25887444,43405.094,190706,319.754,2145
The United Kingdom,Europe,24470658,36046.691,227272,334.785,0
Russian Federation,Europe,22953409,15728.574,399436,273.709,6545
TÃ¼rkiye,Europe,17004677,20162.278,101419,120.252,0
Spain,Europe,13905048,29377.308,121622,256.952,14493
Viet Nam,Western Pacific,11619322,11937.016,43206,44.387,1138
Australia,Western Pacific,11477838,45011.334,21510,84.353,0
Argentina,Americas,10044957,22225.434,130472,288.682,0
Netherlands,Europe,8610372,49463.335,22992,132.08,0
Mexico,Americas,7630407,5918.129,334276,259.264,2294
Iran (Islamic Republic of),Eastern Mediterranean,7612280,9062.999,146290,174.169,69
Indonesia,South-East Asia,6811201,2490.169,161844,59.17,602
Poland,Europe,6517680,17170.705,119624,315.147,148
Colombia,Americas,6371090,12521.085,142794,280.633,1174
Greece,Europe,6101379,56923.469,37089,346.026,0
Austria,Europe,6080088,68307.429,22523,253.037,814
Portugal,Europe,5592410,54316.817,26885,261.123,928
Ukraine,Europe,5559546,12712.253,112433,257.085,0
Chile,Americas,5288023,27662.52,61566,322.062,217
Malaysia,Western Pacific,5122019,15825.308,37118,114.682,13433
Israel,Europe,4828123,55780.719,12557,145.075,327
Belgium,Europe,4800759,41664.43,34364,298.235,50
Thailand,South-East Asia,4749910,6805.031,34292,49.129,2158
Canada,Americas,4686867,12418.123,52804,139.907,2089
Czechia,Europe,4642580,43413.189,42807,400.292,107
Peru,Americas,4508103,13672.58,220793,669.641,0
Switzerland,Europe,4406608,50916.262,14021,162.006,0
Philippines,Western Pacific,4159310,3795.646,66482,60.669,3134
South Africa,Africa,4072533,6866.672,102595,172.985,0
Denmark,Europe,3414195,58635.308,8744,150.169,126
Romania,Europe,3406899,17625.99,68224,352.965,730
Sweden,Europe,2711428,26254.221,24471,236.948,0
Serbia,Europe,2543185,36715.653,18057,260.687,156
Singapore,Western Pacific,2493271,42617.526,1722,29.434,0
Iraq,Eastern Mediterranean,2465545,6129.767,25375,63.087,0
New Zealand,Western Pacific,2333913,48399.009,3077,63.809,7524
Hungary,Europe,2203082,22550.552,48795,499.461,0
Bangladesh,South-East Asia,2041623,1239.681,29457,17.886,808
Slovakia,Europe,1866857,34204.845,21167,387.825,0
Georgia,Europe,1844789,46244.875,17092,428.46,0
Jordan,Eastern Mediterranean,1746997,17122.161,14122,138.408,0
Ireland,Europe,1713340,34512.251,9028,181.853,86
Pakistan,Eastern Mediterranean,1580631,715.566,30656,13.878,0
Kazakhstan,Europe,1502857,8003.837,19072,101.573,0
Norway,Europe,1485627,27677.78,5566,103.697,99
Finland,Europe,1481587,26814.637,9886,178.923,80
Slovenia,Europe,1344525,64151.439,9394,448.217,48
Lithuania,Europe,1321137,47283.266,9690,346.803,125
Bulgaria,Europe,1308683,18825.957,38412,552.573,269
Morocco,Eastern Mediterranean,1274180,3452.074,16297,44.153,0
Croatia,Europe,1273959,31392.489,18269,450.179,52
Guatemala,Americas,1257244,7017.606,20205,112.779,2091
Puerto Rico,Americas,1252713,43788.094,5938,207.56,0
